,Tanggal (UTC),Jenis,Bujur,Lintang
1076,12:04.0,Negative Cloud to Ground,"135,4890187","-2,762820612"
1077,12:05.0,Intra/Inter Cloud,"135,5388576","-3,086174891"
1078,12:05.0,Intra/Inter Cloud,"135,5588447","-3,055846286"
1079,12:16.0,Intra/Inter Cloud,"135,4763143","-3,061543905"
1080,12:35.0,Positive Cloud to Ground,"135,584457","-2,980184581"
1081,13:06.0,Intra/Inter Cloud,"135,4230602","-2,828408615"
1082,13:06.0,Negative Cloud to Ground,"135,5020098","-2,821792836"
1083,13:31.0,Positive Cloud to Ground,"135,4830367","-2,878779412"
1084,13:35.0,Intra/Inter Cloud,"135,5903793","-2,707398112"
1085,14:01.0,Negative Cloud to Ground,"135,4433042","-2,779464076"
1086,14:01.0,Negative Cloud to Ground,"135,4416261","-2,77738412"
1087,14:01.0,Negative Cloud to Ground,"135,4927961","-2,770606347"
1088,14:02.0,Negative Cloud to Ground,"135,5425949","-2,773928235"
1089,14:02.0,Negative Cloud to Ground,"135,4579622","-2,775479147"
1090,14:02.0,Negative Cloud to Ground,"135,4770975","-2,775335519"
1091,14:02.0,Negative Cloud to Ground,"135,4764647","-2,775540123"
1092,14:02.0,Negative Cloud to Ground,"135,4737318","-2,775926491"
1093,14:28.0,Positive Cloud to Ground,"135,4689861","-2,987898311"
1094,14:28.0,Negative Cloud to Ground,"135,4734401","-2,990794966"
1095,14:29.0,Intra/Inter Cloud,"135,4632021","-2,856486811"
1096,14:44.0,Negative Cloud to Ground,"135,5961498","-2,96296548"
1097,14:44.0,Positive Cloud to Ground,"135,6078143","-2,942358852"
1098,14:44.0,Negative Cloud to Ground,"135,4717217","-2,727315187"
1099,14:44.0,Negative Cloud to Ground,"135,3995021","-2,738141616"
1100,14:44.0,Negative Cloud to Ground,"135,5069615","-2,719791205"
1101,14:44.0,Negative Cloud to Ground,"135,4218695","-2,724304588"
1102,14:44.0,Negative Cloud to Ground,"135,4674242","-2,728285422"
1103,14:44.0,Negative Cloud to Ground,"135,5369086","-2,734394933"
1104,14:44.0,Negative Cloud to Ground,"135,4475188","-2,734271312"
1105,14:44.0,Negative Cloud to Ground,"135,5148688","-2,730957026"
1106,14:45.0,Negative Cloud to Ground,"135,4507567","-2,720478106"
1107,14:45.0,Negative Cloud to Ground,"135,4472766","-2,720660088"
1108,15:04.0,Intra/Inter Cloud,"135,5191347","-3,008319391"
1109,15:04.0,Negative Cloud to Ground,"135,4722995","-3,007379651"
1110,16:00.0,Intra/Inter Cloud,"135,4983937","-2,738259567"
1111,16:00.0,Negative Cloud to Ground,"135,4013967","-2,745014547"
1112,16:00.0,Negative Cloud to Ground,"135,4969042","-2,725466517"
1113,16:20.0,Positive Cloud to Ground,"135,5075855","-3,071414535"
1114,17:08.0,Intra/Inter Cloud,"135,4732243","-2,980526283"
1115,17:08.0,Negative Cloud to Ground,"135,4539454","-2,980747701"
